OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
977,43292 - 169097,1033,1,1,1480.517899841621784,24.140931069759862,23.931390557396035,19.984826356118585,
978,43293 - 169097,1034,1,1,282.664480172591311,5.250700901740318,5.124168913065804,3.724919546372154,
979,43294 - 169097,1035,1,1,642.134836664423688,10.555866161847696,13.394754093947920,8.593419077565905,
980,43295 - 169097,1036,1,1,440.547014927936516,6.472603388441590,6.414028327540103,5.959411108314363,
981,43296 - 169097,1037,1,1,2639.037092229268637,47.949809060843023,50.097212376948185,34.869629941994162,
982,43298 - 169097,1039,1,1,1962.489050677113028,31.502032260349125,31.565499001234155,26.486292278435243,
983,43299 - 169097,1040,1,1,1206.869995833128314,22.240873178759642,23.572574136441215,15.983636594326569,
984,43300 - 169097,1041,1,1,3875.263186801198117,57.104956379679876,50.283023588664292,54.063445222463386,
985,43301 - 169097,1042,1,1,1430.586515568591039,22.590385232316432,22.025729287758740,19.360004556398820,
986,43302 - 169097,1043,1,1,3719.602419759011809,52.795421488021951,48.270020934420558,50.832439134344604,
987,43303 - 169097,1044,1,1,477.314123229054985,8.713967976742092,8.216517055763431,6.345669277488295,
988,43304 - 169097,1045,1,1,1898.880555764769724,27.751947632504550,26.140419092203505,26.578904546918860,
989,43305 - 169097,1046,1,1,5273.858433506149595,80.576525752974035,80.312510180429200,71.552121905640576,
990,43306 - 169097,1047,1,1,1562.593583106611277,23.253271114859132,22.047993938862778,21.222937516089356,
991,43307 - 169097,1048,1,1,3630.961233133218229,53.358987177117584,47.071250825738510,50.735795107323980,
992,43308 - 169097,1049,1,1,814.100284887041084,15.450099351260404,14.648906978080609,10.699035244398296,
993,43309 - 169097,1050,1,1,732.025278024116574,11.514801884106189,10.765475024616389,9.901475311217471,
994,43310 - 169097,1051,1,1,1908.721277015305759,33.076861192108154,36.128554552975544,25.481497301948028,
995,43311 - 169097,1052,1,1,3582.991538969652083,52.664979449150010,46.660690568996635,50.062091304611613,
996,43321 - 169097,1055,1,1,1746.191367848946811,28.144447727423987,28.882558195874434,23.481849199066087,
997,43324 - 169097,1056,1,1,2168.470417120211096,35.338473380847013,33.742801874928055,29.267725399275928,
998,43766 - 169097,1057,1,1,1813.218048700413192,25.436203164324578,24.726660021556107,24.754506402741708,
999,43776 - 169097,1058,1,1,1868.085700506870808,26.307951343328252,24.807307779686951,25.588267699339099,
1000,43866 - 169097,1059,1,1,3484.742850445541535,57.265561174420938,61.216122172508832,46.894914073734043,
1001,49903 - 169097,1060,1,1,1373.610129150330977,19.122769655534114,18.830665979894345,18.757090020540915,
1002,49904 - 169097,1061,1,1,1710.967699777918597,23.897765618667339,23.210035584197236,23.466826998677838,
1003,49905 - 169097,1062,1,1,1638.611093599032529,22.739121617167211,22.004874588933163,22.397203431023264,
1004,49906 - 169097,1063,1,1,1377.126027367367669,19.184014221598318,18.569216502627750,18.819622457425130,
1005,49907 - 169097,1064,1,1,1155.074822531913469,16.651446502590137,16.394711951567473,16.068059606276606,
1006,49908 - 169097,1065,1,1,1173.307817034628897,16.270930674035480,16.418778566046768,16.022934143326360,
1007,49909 - 169097,1066,1,1,2194.202651416841491,30.437744384456369,28.758244998421098,29.997563039489268,
1008,49910 - 169097,1067,1,1,1505.813904240370903,20.942109490232799,20.393315842945238,20.568678974327774,
1009,49911 - 169097,1068,1,1,1484.653787533600735,20.634896324935440,20.022975790738034,20.288975785693630,
1010,49912 - 169097,1069,1,1,1132.884469457002751,15.746539769760975,15.871831218548177,15.470907064103805,
1011,49913 - 169097,1070,1,1,1827.458857034827815,25.730328252992866,24.448145478166321,24.945998722640631,
1012,49914 - 169097,1071,1,1,1529.006726873052003,21.622679277652285,21.100691898286655,20.858410548876275,
1013,49916 - 169097,1072,1,1,908.711908356253275,13.829809363712307,14.509358694267947,12.348840541426204,
1014,49917 - 169097,1073,1,1,1620.580436972692951,24.041298673370843,23.869421628421449,22.029519899423956,
1015,49918 - 169097,1074,1,1,1699.963709962315761,23.879268414895098,22.943386822086268,23.219615205339508,
1016,49919 - 169097,1075,1,1,726.124856101484738,10.369679823438618,11.119181206534705,9.890750825138161,
1017,49920 - 169097,1076,1,1,1387.682620449847718,19.723142846301794,19.321123262048751,18.922508502929094,
1018,49921 - 169097,1077,1,1,273.986399495462479,4.054684027431310,4.772773807297765,3.711157646232539,
1019,49922 - 169097,1078,1,1,967.190251713248358,13.579128211889001,14.118184421856249,13.190932024772483,
1020,49923 - 169097,1079,1,1,2524.768254387210163,35.500644933448115,33.301242107385029,34.502997424362093,
1021,49924 - 169097,1080,1,1,1201.504109975907568,16.671802329944061,16.514808609448210,16.413598147596343,
