OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
2714,119474 - 169097,2843,1,1,453.110449813624257,7.180742180608494,8.483649790212938,6.083126785135978,
2715,119475 - 169097,2844,1,1,270.963682291128464,4.356971053120454,4.174934199003723,3.746722742556565,
2716,119476 - 169097,2845,1,1,303.015292311173368,4.744820056571046,4.658218437440190,4.108944497194781,
2717,119477 - 169097,2846,1,1,159.141191944200699,2.352372699350248,2.425761292620180,2.153007878791578,
2718,119478 - 169097,2847,1,1,439.278270002051670,6.999034267323705,8.295039578117130,5.893718090957940,
2719,119479 - 169097,2848,1,1,453.086937443786724,8.652861447647824,8.412786146442444,5.964461524335272,
2720,119480 - 169097,2849,1,1,451.161994969407260,9.230890050240060,9.083110268076783,7.198539225469950,
2721,119481 - 169097,2850,1,1,1403.231337725022513,20.219138168423186,20.132843119824166,19.110042046742578,
2722,119482 - 169097,2851,1,1,3250.819337038277808,51.063796838758940,51.976869847950816,43.826009593421787,
2723,119483 - 169097,2852,1,1,3054.492170238958352,44.086457168151462,41.832267661078156,41.613724032578929,
2724,119484 - 169097,2853,1,1,43.003959700651606,0.673461436066056,0.513688291087562,0.586397942511590,
2725,119485 - 169097,2854,1,1,1200.142495298671065,17.465748276630542,18.713657023690924,16.313509663605856,
2726,119486 - 169097,2855,1,1,3301.796216645751883,51.820192111681848,52.899229857660629,44.518753525592217,
2727,119487 - 169097,2856,1,1,241.073432364124329,4.086029896448669,6.000944702046654,3.210242295066595,
2728,119488 - 169097,2857,1,1,582.765452738905083,9.226671247687129,9.911235156784269,7.859325846188835,
2729,119489 - 169097,2858,1,1,263.080615886911460,4.481885877200239,4.479836259416377,3.547473297623802,
2730,119490 - 169097,2859,1,1,674.910196632543034,11.226978703066196,12.364545237386142,9.058897142194432,
2731,119491 - 169097,2860,1,1,1668.647447612909218,27.514314524059131,28.059167677560193,22.387627085904835,
2732,119492 - 169097,2861,1,1,3354.450128023459911,48.216439382249966,45.413947882452938,45.723496827872410,
2733,119493 - 169097,2862,1,1,332.657836411141659,5.043404201336584,4.805549730639392,4.507467070521333,
2734,119494 - 169097,2863,1,1,539.144556015158855,9.111289367488876,8.446428953279485,7.260250347684885,
2735,119495 - 169097,2864,1,1,294.647961689471970,5.109229235236542,4.848867301602413,3.971314560385000,
2736,119496 - 169097,2865,1,1,212.449748758776337,3.111494736525949,3.241627399142444,2.880695222324305,
2737,119497 - 169097,2866,1,1,70.702395390930690,1.034947502122875,1.245805734887065,0.946724760229091,
2738,119498 - 169097,2867,1,1,129.412039265537629,1.911912946875768,2.308272117724447,1.743201477920022,
2739,119499 - 169097,2868,1,1,3408.958707008786405,49.019885208555557,46.071832562080026,46.465687383690707,
2740,119500 - 169097,2869,1,1,2941.923551600027167,46.313841522501619,45.973095920224139,39.641077447770606,
2741,119501 - 169097,2870,1,1,2948.849659138550123,42.644399633799502,40.562723890758903,40.166048313405760,
2742,119502 - 169097,2871,1,1,186.537575718486409,2.902037324250045,2.837017806487634,2.500391620602257,
2743,119503 - 169097,2872,1,1,2997.009274233367705,47.159760909682085,47.050527844165266,40.388031902316229,
2744,119504 - 169097,2873,1,1,3634.726666243067939,52.378346819238267,48.653192743177854,49.552759452135867,
2745,119505 - 169097,2874,1,1,111.090163876834552,2.093851644882073,2.559018354217303,1.473120143425608,
2746,119506 - 169097,2875,1,1,444.154919731431278,6.444100901534128,6.421944922186249,6.012548658524747,
2747,119507 - 169097,2876,1,1,1762.736181460702937,29.120637263168309,29.200332782966502,23.754046216896182,
2748,119508 - 169097,2877,1,1,163.795404986152732,2.743156229794875,2.726083414330778,2.198103775897092,
2749,119509 - 169097,2878,1,1,101.339756810364818,1.555885366889220,1.424961969091237,1.376021705393004,
2750,119510 - 169097,2879,1,1,333.995575003387387,5.736653850368298,5.420919339274372,4.477858164637041,
2751,119511 - 169097,2880,1,1,3087.166030909792880,44.522231065124522,42.241239393546735,42.062193351630505,
2752,119513 - 169097,2881,1,1,91.144113444695193,1.337821870807377,1.270473831453540,1.243404066408348,
2753,119514 - 169097,2882,1,1,804.207357237430415,14.211879138286990,13.564136098047824,10.732912581692679,
2754,119515 - 169097,2883,1,1,116.473113547862368,2.099585235359934,2.177290407268679,1.562808934466762,
2755,119516 - 169097,2884,1,1,3085.223353058207522,44.498971726496514,42.211673516466988,42.035558406516088,
2756,119517 - 169097,2885,1,1,428.913007639238458,7.563276624897196,6.979509848384362,5.723138166194253,
2757,119518 - 169097,2886,1,1,1666.225348817968097,26.830811316293957,26.463614277226529,22.447770856585155,
2758,119519 - 169097,2887,1,1,104.032042873797849,1.727446648411873,1.487024394988638,1.404408837611940,
2759,119520 - 169097,2888,1,1,3157.326358141909168,48.414716205846268,45.841861316019560,42.763149880709321,
2760,119521 - 169097,2889,1,1,2033.236788632774960,32.603910843069556,30.569720138290943,27.439554440323672,
2761,119522 - 169097,2890,1,1,3141.229984562517529,45.271596109280040,42.870830046651299,42.802908185388034,
2762,119523 - 169097,2891,1,1,316.066794835830081,5.461740947892351,7.168465769676708,4.205806053044884,
2763,119524 - 169097,2892,1,1,2998.870477808901342,47.784187909184084,51.237804965252550,40.367302095456218,
